symbol,token,name
EBBE23INAV-EQ,10012,EBBE23INAV
ICICI5INAV-EQ,10048,ICICI5INAV
MONQ50INAV-EQ,10128,MONQ50INAV
AXISBNKETF-EQ,1044,AXISBNKETF
STEELCITY-EQ,10406,STEELCITY
KSHITIJPOL-EQ,10407,KSHITIJPOL
ARVSMART-EQ,10457,ARVSMART
MOHEALTH-EQ,10508,MOHEALTH
NIFTYBETA-EQ,10511,NIFTYBETA
HDF100INAV-EQ,10583,HDF100INAV
HDFCNIF100-EQ,10633,HDFCNIF100
TEAMGTY-EQ,10717,TEAMGTY
CANBK-EQ,10794,CANBK
NOIDATOLL-EQ,10786,NOIDATOLL
HDFCSILVER-EQ,10876,HDFCSILVER
GENESYS-EQ,10905,GENESYS
GODREJIND-EQ,10925,GODREJIND
BANKIETF-EQ,11037,BANKIETF
KSOLVES-EQ,11060,KSOLVES
IDFCFIRSTB-EQ,11184,IDFCFIRSTB
NSIL-EQ,11239,NSIL
TTKHLTCARE-EQ,11369,TTKHLTCARE
NDTV-EQ,11427,NDTV
TRACXN-EQ,11582,TRACXN
NEWGEN-EQ,1164,NEWGEN
GUFICBIO-EQ,11606,GUFICBIO
ALKEM-EQ,11703,ALKEM
AMBER-EQ,1185,AMBER
VIVIMEDLAB-EQ,11965,VIVIMEDLAB
HTMEDIA-EQ,11979,HTMEDIA
ICIL-EQ,11987,ICIL
FAZE3Q-EQ,12000,FAZE3Q
DELTAMAGNT-EQ,1214,DELTAMAGNT
OSIAHYPER-EQ,12635,OSIAHYPER
HYBRIDFIN-EQ,12809,HYBRIDFIN
CELEBRITY-EQ,13162,CELEBRITY
ENIL-EQ,13192,ENIL
MARINE-EQ,1328,MARINE
VISASTEEL-EQ,13295,VISASTEEL
KFINTECH-EQ,13359,KFINTECH
KKCL-EQ,13381,KKCL
EMKAY-EQ,13421,EMKAY
KELLTONTEC-EQ,13430,KELLTONTEC
PFOCUS-EQ,13496,PFOCUS
GMRAIRPORT-EQ,13528,GMRAIRPORT
RAMANEWS-EQ,13565,RAMANEWS
RADIANTCMS-EQ,13580,RADIANTCMS
ANTELOPUS-EQ,13598,ANTELOPUS
NRL-EQ,13675,NRL
INSPIRISYS-EQ,13730,INSPIRISYS
NAUKRI-EQ,13751,NAUKRI
KUANTUM-EQ,13870,KUANTUM
CREST-EQ,13900,CREST
SARLAPOLY-EQ,14043,SARLAPOLY
SAGCEM-EQ,14068,SAGCEM
IGPL-EQ,14086,IGPL
CTE-EQ,14218,CTE
HDFCSML250-EQ,14233,HDFCSML250
HDFCMID150-EQ,14236,HDFCMID150
TFL-EQ,14319,TFL
SMSPHARMA-EQ,14329,SMSPHARMA
ORIENTALTL-EQ,14346,ORIENTALTL
GOLDBEES-EQ,14428,GOLDBEES
ICRA-EQ,14523,ICRA
PSUBNKIETF-EQ,14584,PSUBNKIETF
V2RETAIL-EQ,14766,V2RETAIL
161NSETEST-EQ,14784,161NSETEST
CSBBANK-EQ,14966,CSBBANK
CENTUM-EQ,14982,CENTUM
KOLTEPATIL-EQ,15124,KOLTEPATIL
INDIACEM-EQ,1515,INDIACEM
KALYANIFRG-EQ,15156,KALYANIFRG
ARIES-EQ,15204,ARIES
CORDSCABLE-EQ,15271,CORDSCABLE
TATAINVEST-EQ,1621,TATAINVEST
ATAM-EQ,15404,ATAM
AVG-EQ,15589,AVG
IOC-EQ,1624,IOC
EBBETF0430-EQ,16253,EBBETF0430
RPGLIFE-EQ,16725,RPGLIFE
SHARIABEES-EQ,17044,SHARIABEES
PARAGMILK-EQ,17130,PARAGMILK
JBCHEPHARM-EQ,1726,JBCHEPHARM
ARMANFIN-EQ,17263,ARMANFIN
EXCEL-EQ,17376,EXCEL
GLOBUSSPR-EQ,17424,GLOBUSSPR
LTGILTBEES-EQ,17700,LTGILTBEES
MIDSELIETF-EQ,17702,MIDSELIETF
ATL-EQ,17778,ATL
GILLANDERS-EQ,17839,GILLANDERS
NESTLEIND-EQ,17963,NESTLEIND
VLEGOV-EQ,18012,VLEGOV
SBFC-EQ,18026,SBFC
ARENTERP-EQ,181,ARENTERP
JUBLFOOD-EQ,18096,JUBLFOOD
THANGAMAYL-EQ,18118,THANGAMAYL
FACT-EQ,1008,FACT
LICN50INAV-EQ,10098,LICN50INAV
MON100INAV-EQ,10130,MON100INAV
SYNGENE-EQ,10243,SYNGENE
RAMASTEEL-EQ,10300,RAMASTEEL
PKTEA-EQ,10321,PKTEA
RADHIKAJWE-EQ,10343,RADHIKAJWE
RAMRAT-EQ,10485,RAMRAT
MPSLTD-EQ,10578,MPSLTD
NIFTYQLITY-EQ,10690,NIFTYQLITY
INFRAIETF-EQ,10723,INFRAIETF
OFSS-EQ,10738,OFSS
DBOL-EQ,10893,DBOL
IGL-EQ,11262,IGL
UNIENTER-EQ,11293,UNIENTER
LICNETFN50-EQ,11319,LICNETFN50
MUKANDLTD-EQ,11325,MUKANDLTD
GICHSGFIN-EQ,1139,GICHSGFIN
MAHABANK-EQ,11377,MAHABANK
SPANDANA-EQ,11435,SPANDANA
WESTLIFE-EQ,11580,WESTLIFE
NTPC-EQ,11630,NTPC
LALPATHLAB-EQ,11654,LALPATHLAB
CONSOFINVT-EQ,11731,CONSOFINVT
JPPOWER-EQ,11763,JPPOWER
PRIMESECU-EQ,11864,PRIMESECU
63MOONS-EQ,11868,63MOONS
GRANULES-EQ,11872,GRANULES
MCLEODRUSS-EQ,11943,MCLEODRUSS
RML-EQ,11975,RML
CASTROLIND-EQ,1250,CASTROLIND
DHARMAJ-EQ,13001,DHARMAJ
SILVER1-EQ,13082,SILVER1
NAHARINDUS-EQ,13106,NAHARINDUS
ORIENTCER-EQ,13111,ORIENTCER
EBB433INAV-EQ,13168,EBB433INAV
HCL-INSYS-EQ,1327,HCL-INSYS
RSYSTEMS-EQ,13414,RSYSTEMS
LOKESHMACH-EQ,13436,LOKESHMACH
TECHM-EQ,13538,TECHM
HGM-EQ,13592,HGM
ANANTRAJ-EQ,13620,ANANTRAJ
JHS-EQ,13720,JHS
GTLINFRA-EQ,13745,GTLINFRA
HINDUNILVR-EQ,1394,HINDUNILVR
ASMS-EQ,14064,ASMS
PITTIENG-EQ,14134,PITTIENG
HSCL-EQ,14334,HSCL
IDEA-EQ,14366,IDEA
POCL-EQ,14385,POCL
AMDIND-EQ,14398,AMDIND
WEBELSOLAR-EQ,14602,WEBELSOLAR
GOACARBON-EQ,14687,GOACARBON
HGS-EQ,14712,HGS
021NSETEST-EQ,14751,021NSETEST
061NSETEST-EQ,14762,061NSETEST
101NSETEST-EQ,14772,101NSETEST
GOLD1-EQ,14858,GOLD1
KPRMILL-EQ,14912,KPRMILL
CIEINDIA-EQ,14937,CIEINDIA
SHIVAMILLS-EQ,1497,SHIVAMILLS
MAG813INAV-EQ,14953,MAG813INAV
KSCL-EQ,14972,KSCL
MOGSEC-EQ,1507,MOGSEC
MANAKSIA-EQ,15199,MANAKSIA
PPAP-EQ,15209,PPAP
JKIL-EQ,15266,JKIL
ONMOBILE-EQ,15278,ONMOBILE
QGOLDHALF-EQ,15330,QGOLDHALF
SHALPAINTS-EQ,15342,SHALPAINTS
NESCO-EQ,15409,NESCO
IPCALAB-EQ,1633,IPCALAB
BAJAJFINSV-EQ,16675,BAJAJFINSV
PTCIL-EQ,16682,PTCIL
HGINFRA-EQ,1672,HGINFRA
GHCLTEXTIL-EQ,16696,GHCLTEXTIL
ALMONDZ-EQ,16719,ALMONDZ
20MICRONS-EQ,16921,20MICRONS
ASHOKAMET-EQ,16943,ASHOKAMET
COUNCODOS-EQ,16986,COUNCODOS
PALREDTEC-EQ,17062,PALREDTEC
NV20IETF-EQ,17475,NV20IETF
RTNPOWER-EQ,17520,RTNPOWER
AMRUTANJAN-EQ,17547,AMRUTANJAN
ZYDUSWELL-EQ,17635,ZYDUSWELL
UNIVPHOTO-EQ,17659,UNIVPHOTO
KANPRPLA-EQ,1782,KANPRPLA
QUESS-EQ,17704,QUESS
ICIQ30INAV-EQ,17822,ICIQ30INAV
DLINKINDIA-EQ,17851,DLINKINDIA
ABBOTINDIA-EQ,17903,ABBOTINDIA
GEEKAYWIRE-EQ,17922,GEEKAYWIRE
GATECH-EQ,17888,GATECH
ADVENZYMES-EQ,18039,ADVENZYMES
JIOFIN-EQ,18143,JIOFIN
HATHWAY-EQ,18154,HATHWAY
EBBE30INAV-EQ,10016,EBBE30INAV
GODREJCP-EQ,10099,GODREJCP
ADANIENSOL-EQ,10217,ADANIENSOL
FINPIPE-EQ,1041,FINPIPE
LUPIN-EQ,10440,LUPIN
POWERMECH-EQ,10473,POWERMECH
SENSEXBETA-EQ,10515,SENSEXBETA
UFLEX-EQ,1053,UFLEX
SYRMA-EQ,10793,SYRMA
JUNIORBEES-EQ,10939,JUNIORBEES
MARUTI-EQ,10999,MARUTI
INDORAMA-EQ,10993,INDORAMA
SIRCA-EQ,11050,SIRCA
VARDHACRLC-EQ,11220,VARDHACRLC
BALAXI-EQ,11309,BALAXI
AFFLE-EQ,11343,AFFLE
SALZERELEC-EQ,11399,SALZERELEC
PILANIINVS-EQ,11445,PILANIINVS
AMBICAAGAR-EQ,11496,AMBICAAGAR
EMIL-EQ,11530,EMIL
PPLPHARMA-EQ,11571,PPLPHARMA
GULFPETRO-EQ,11581,GULFPETRO
JBMA-EQ,11655,JBMA
ALLDIGI-EQ,11798,ALLDIGI
JKPAPER-EQ,11860,JKPAPER
JSWHL-EQ,11880,JSWHL
MANINDS-EQ,11884,MANINDS
VHL-EQ,11892,VHL
DCXINDIA-EQ,11895,DCXINDIA
SEMAC-EQ,11961,SEMAC
SASKEN-EQ,11983,SASKEN
FCSSOFT-EQ,11999,FCSSOFT
SUZLON-EQ,12018,SUZLON
INOXGREEN-EQ,12188,INOXGREEN
RUSTOMJEE-EQ,12219,RUSTOMJEE
VINNY-EQ,12490,VINNY
GSPL-EQ,13197,GSPL
JKCEMENT-EQ,13270,JKCEMENT
LANDMARK-EQ,13276,LANDMARK
HEROMOTOCO-EQ,1348,HEROMOTOCO
BALPHARMA-EQ,13441,BALPHARMA
MANUGRAPH-EQ,13572,MANUGRAPH
HINDALCO-EQ,1363,HINDALCO
AERONEU-EQ,13689,AERONEU
SHYAMTEL-EQ,13740,SHYAMTEL
BAIDFIN-EQ,13794,BAIDFIN
LTFOODS-EQ,13816,LTFOODS
AARTIPHARM-EQ,13868,AARTIPHARM
AVTNPL-EQ,14008,AVTNPL
AUTOIND-EQ,14106,AUTOIND
TVSSRICHAK-EQ,14245,TVSSRICHAK
GOLDETF-EQ,14286,GOLDETF
NAHARSPING-EQ,14440,NAHARSPING
ACCURACY-EQ,1465,ACCURACY
IDBI-EQ,1476,IDBI
041NSETEST-EQ,14755,041NSETEST
111NSETEST-EQ,14774,111NSETEST
REPL-EQ,1480,REPL
121NSETEST-EQ,14777,121NSETEST
IFBIND-EQ,1485,IFBIND
DECCANCE-EQ,14838,DECCANCE
BAJAJELEC-EQ,15034,BAJAJELEC
SVLL-EQ,15121,SVLL
RGL-EQ,15129,RGL
TARIL-EQ,15174,TARIL
AMBIKCO-EQ,15234,AMBIKCO
DPSCLTD-EQ,15419,DPSCLTD
TARC-EQ,1581,TARC
HINDWAREAP-EQ,15883,HINDWAREAP
APOLLOTYRE-EQ,163,APOLLOTYRE
BHARATWIRE-EQ,16123,BHARATWIRE
MKPL-EQ,16736,MKPL
VINYLINDIA-EQ,16821,VINYLINDIA
IKIO-EQ,16822,IKIO
KOKUYOCMLN-EQ,16827,KOKUYOCMLN
LPDC-EQ,16863,LPDC
SUMICHEM-EQ,17105,SUMICHEM
PATANJALI-EQ,17029,PATANJALI
ALBERTDAVD-EQ,17256,ALBERTDAVD
VINATIORGA-EQ,17364,VINATIORGA
ADANIPOWER-EQ,17388,ADANIPOWER
PVTBANKADD-EQ,17576,PVTBANKADD
PSUBANKADD-EQ,17616,PSUBANKADD
TREL-EQ,17795,TREL
GODREJPROP-EQ,17875,GODREJPROP
KAKATCEM-EQ,1811,KAKATCEM
DOLPHIN-EQ,18139,DOLPHIN
ARE&M-EQ,100,ARE&M
DSPQ50INAV-EQ,10005,DSPQ50INAV
ICICI1INAV-EQ,10050,ICICI1INAV
MAM150INAV-EQ,10110,MAM150INAV
FEDERALBNK-EQ,1023,FEDERALBNK
DGCONTENT-EQ,10346,DGCONTENT
SHAREINDIA-EQ,104,SHAREINDIA
MARKSANS-EQ,10579,MARKSANS
GUJGASLTD-EQ,10599,GUJGASLTD
HDFCNEXT50-EQ,10619,HDFCNEXT50
FOSECOIND-EQ,1073,FOSECOIND
ZENSARTECH-EQ,1076,ZENSARTECH
SILVERADD-EQ,10761,SILVERADD
DREAMFOLKS-EQ,10859,DREAMFOLKS
RADAAN-EQ,10932,RADAAN
STCINDIA-EQ,10948,STCINDIA
GARFIBRES-EQ,1100,GARFIBRES
SANGINITA-EQ,11032,SANGINITA
NATHBIOGEN-EQ,11065,NATHBIOGEN
CNL-EQ,11155,CNL
COFFEEDAY-EQ,11165,COFFEEDAY
SHK-EQ,11212,SHK
UCOBANK-EQ,11223,UCOBANK
HDFCVALUE-EQ,11260,HDFCVALUE
TVTODAY-EQ,11275,TVTODAY
TIPSFILMS-EQ,11374,TIPSFILMS
PVTBANIETF-EQ,11386,PVTBANIETF
ZOTA-EQ,11394,ZOTA
CCL-EQ,11452,CCL
EXCELINDUS-EQ,11471,EXCELINDUS
COFORGE-EQ,11543,COFORGE
HDFCNIFTY-EQ,11591,HDFCNIFTY
WELENT-EQ,11626,WELENT
XCHANGING-EQ,11705,XCHANGING
EVEREADY-EQ,11782,EVEREADY
SUKHJITS-EQ,11804,SUKHJITS
SHOPERSTOP-EQ,11813,SHOPERSTOP
SSWL-EQ,11829,SSWL
NH-EQ,11840,NH
SURYALAXMI-EQ,11852,SURYALAXMI
ESG-EQ,1200,ESG
AURIONPRO-EQ,12022,AURIONPRO
ACI-EQ,12024,ACI
FIVESTAR-EQ,12032,FIVESTAR
11NSETEST-EQ,12841,11NSETEST
SAFARI-EQ,13035,SAFARI
360ONE-EQ,13061,360ONE
KERNEX-EQ,13121,KERNEX
JAGRAN-EQ,13211,JAGRAN
SAKUMA-EQ,13251,SAKUMA
BLKASHYAP-EQ,13290,BLKASHYAP
HDFCBANK-EQ,1333,HDFCBANK
MALUPAPER-EQ,13352,MALUPAPER
BHAGERIA-EQ,13400,BHAGERIA
RATNAMANI-EQ,13451,RATNAMANI
AKASH-EQ,13510,AKASH
IRCTC-EQ,13611,IRCTC
BANKADD-EQ,13644,BANKADD
GEECEE-EQ,13658,GEECEE
INFOMEDIA-EQ,13693,INFOMEDIA
FIEMIND-EQ,13710,FIEMIND
DCBBANK-EQ,13725,DCBBANK
GLOBALVECT-EQ,13735,GLOBALVECT
GESHIP-EQ,13776,GESHIP
JINDRILL-EQ,13875,JINDRILL
LIQUID1-EQ,13950,LIQUID1
TANLA-EQ,13976,TANLA
ZEEMEDIA-EQ,14003,ZEEMEDIA
HINDPETRO-EQ,1406,HINDPETRO
PTL-EQ,14101,PTL
REDINGTON-EQ,14255,REDINGTON
PGIL-EQ,14260,PGIL
PFC-EQ,14299,PFC
APOLLOPIPE-EQ,14361,APOLLOPIPE
SANOFI-EQ,1442,SANOFI
PHOENIXLTD-EQ,14552,PHOENIXLTD
SRHHYPOLTD-EQ,14582,SRHHYPOLTD
CHEMBOND-EQ,14618,CHEMBOND
NAVINFLUOR-EQ,14672,NAVINFLUOR
NAGREEKEXP-EQ,14702,NAGREEKEXP
TARMAT-EQ,14771,TARMAT
SPARC-EQ,14788,SPARC
NAGREEKCAP-EQ,14942,NAGREEKCAP
ASTERDM-EQ,1508,ASTERDM
INDHOTEL-EQ,1512,INDHOTEL
PSUBANK-EQ,15061,PSUBANK
BRIGADE-EQ,15184,BRIGADE
BANG-EQ,15303,BANG
SEPC-EQ,15308,SEPC
IRB-EQ,15313,IRB
GSS-EQ,15347,GSS
GOLDADD-EQ,15356,GOLDADD
MANKIND-EQ,15380,MANKIND
APOLLOHOSP-EQ,157,APOLLOHOSP
RVHL-EQ,1565,RVHL
INGERRAND-EQ,1597,INGERRAND
PIGL-EQ,15716,PIGL
FAIRCHEMOR-EQ,1614,FAIRCHEMOR
IONEXCHANG-EQ,1630,IONEXCHANG
CCAVENUE-EQ,16249,CCAVENUE
MMP-EQ,16395,MMP
ITC-EQ,1660,ITC
QNIFTY-EQ,16819,QNIFTY
TPHQ-EQ,16996,TPHQ
MAWANASUG-EQ,17022,MAWANASUG
JAYBARMARU-EQ,1708,JAYBARMARU
URAVIDEF-EQ,17071,URAVIDEF
IDEAFORGE-EQ,17140,IDEAFORGE
JAYSREETEA-EQ,1720,JAYSREETEA
NEXT50-EQ,17181,NEXT50
PAKKA-EQ,17197,PAKKA
ITADD-EQ,17207,ITADD
ASPINWALL-EQ,17270,ASPINWALL
CONTROLPR-EQ,17477,CONTROLPR
DAMODARIND-EQ,17541,DAMODARIND
MAHEPC-EQ,17603,MAHEPC
SENSEXADD-EQ,17613,SENSEXADD
GROBTEA-EQ,17770,GROBTEA
LTIM-EQ,17818,LTIM
DBCORP-EQ,17881,DBCORP
UNITEDTEA-EQ,17999,UNITEDTEA
MBLINFRA-EQ,18029,MBLINFRA
KABRAEXTRU-EQ,1805,KABRAEXTRU
NIFTY1-EQ,18102,NIFTY1
TEXMOPIPES-EQ,18214,TEXMOPIPES
MANINFRA-EQ,18226,MANINFRA
AEROFLEX-EQ,18268,AEROFLEX
HDFCLIQUID-EQ,18279,HDFCLIQUID
RBLBANK-EQ,18391,RBLBANK
BIGBLOC-EQ,18431,BIGBLOC
ENDURANCE-EQ,18822,ENDURANCE
CUMMINSIND-EQ,1901,CUMMINSIND
SFL-EQ,19184,SFL
HISARMETAL-EQ,19322,HISARMETAL
SECMARK-EQ,19496,SECMARK
IITL-EQ,19525,IITL
UGARSUGAR-EQ,19578,UGARSUGAR
ALPHAETF-EQ,19640,ALPHAETF
GOLDIETF-EQ,19679,GOLDIETF
WELINV-EQ,19800,WELINV
HONASA-EQ,19813,HONASA
EGOLD-EQ,19933,EGOLD
LUMAXIND-EQ,2018,LUMAXIND
CANTABIL-EQ,20160,CANTABIL
ESILVER-EQ,20257,ESILVER
CGCL-EQ,20329,CGCL
APCL-EQ,20453,APCL
DIGIDRIVE-EQ,21247,DIGIDRIVE
AVADHSUGAR-EQ,21406,AVADHSUGAR
BDL-EQ,2144,BDL
STEL-EQ,21484,STEL
DCAL-EQ,21704,DCAL
DAVANGERE-EQ,21794,DAVANGERE
ACC-EQ,22,ACC
LOVABLE-EQ,22415,LOVABLE
EPACK-EQ,22463,EPACK
ITBETA-EQ,22488,ITBETA
MRPL-EQ,2283,MRPL
GOLDCASE-EQ,22901,GOLDCASE
RKSWAMY-EQ,23043,RKSWAMY
SMCGLOBAL-EQ,2320,SMCGLOBAL
MOS250INAV-EQ,23188,MOS250INAV
CPSEETF-EQ,2328,CPSEETF
ASIANPAINT-EQ,236,ASIANPAINT
RELAXO-EQ,24225,RELAXO
VRAJ-EQ,24321,VRAJ
CONSUMBEES-EQ,2435,CONSUMBEES
DELPHIFX-EQ,24391,DELPHIFX
EMCURE-EQ,24398,EMCURE
SANSTAR-EQ,24582,SANSTAR
METALIETF-EQ,24861,METALIETF
SILGO-EQ,2492,SILGO
PREMIERENE-EQ,25049,PREMIERENE
BCLIND-EQ,2513,BCLIND
FLEXITUFF-EQ,25512,FLEXITUFF
TRITURBINE-EQ,25584,TRITURBINE
MOME50INAV-EQ,25621,MOME50INAV
AFFORDABLE-EQ,25855,AFFORDABLE
DBEIL-EQ,25892,DBEIL
SEAMECLTD-EQ,2616,SEAMECLTD
PCBL-EQ,2649,PCBL
PIDILITIND-EQ,2664,PIDILITIND
SAGILITY-EQ,27052,SAGILITY
CINELINE-EQ,27161,CINELINE
RAJSREESUG-EQ,2809,RAJSREESUG
VMM-EQ,27969,VMM
RALLIS-EQ,2816,RALLIS
ANURAS-EQ,2829,ANURAS
RANEHOLDIN-EQ,2844,RANEHOLDIN
KITEX-EQ,28899,KITEX
DUCON-EQ,28952,DUCON
RICOAUTO-EQ,2909,RICOAUTO
STALLION-EQ,29204,STALLION
AJAXENGG-EQ,29624,AJAXENGG
HEXT-EQ,29666,HEXT
GUJTHEM-EQ,29731,GUJTHEM
GROWWN200-EQ,29872,GROWWN200
JUSTDIAL-EQ,29962,JUSTDIAL
BSE500IETF-EQ,3001,BSE500IETF
EQUAL200-EQ,30121,EQUAL200
EQU200INAV-EQ,30124,EQU200INAV
PRABHA-EQ,30134,PRABHA
SDL26BEES-EQ,3022,SDL26BEES
SML100INAV-EQ,30544,SML100INAV
BAJAJHIND-EQ,308,BAJAJHIND
LODHA-EQ,3220,LODHA
THOMASCOTT-EQ,31017,THOMASCOTT
TEMBO-EQ,3275,TEMBO
STARPAPER-EQ,3291,STARPAPER
DEEPINDS-EQ,3292,DEEPINDS
SUNDARMFIN-EQ,3339,SUNDARMFIN
TAINWALCHM-EQ,3396,TAINWALCHM
TATACONSUM-EQ,3432,TATACONSUM
TMPV-EQ,3456,TMPV
TIRUMALCHM-EQ,3496,TIRUMALCHM
